#alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.000,     0.000,  -0.167487,   0.002583,   0.012534,   0.015117,   0.000000,  -0.000000,   0.199058,  -0.000000,  -0.000000,   32.0000,    4.4773
   -7.500,     0.000,  -0.114975,   0.002211,   0.011739,   0.013949,   0.000000,  -0.000000,   0.187700,  -0.000000,  -0.000000,   32.0000,    4.9230
   -7.000,     0.000,  -0.062436,   0.001920,   0.010998,   0.012918,   0.000000,  -0.000000,   0.176185,  -0.000000,  -0.000000,   32.0000,    6.1199
   -6.500,     0.000,  -0.009877,   0.001712,   0.010363,   0.012076,   0.000000,  -0.000000,   0.164510,  -0.000000,  -0.000000,   32.0000,   20.0617
   -6.000,     0.000,   0.042696,   0.001587,   0.009925,   0.011512,   0.000000,   0.000000,   0.152677,  -0.000000,  -0.000000,   32.0000,   -0.3323
   -5.500,     0.000,   0.095277,   0.001545,   0.009531,   0.011076,   0.000000,   0.000000,   0.140697,  -0.000000,  -0.000000,   32.0000,    1.7819
   -5.000,     0.000,   0.147859,   0.001586,   0.009228,   0.010814,   0.000000,   0.000000,   0.128568,  -0.000000,  -0.000000,   32.0000,    2.3923
   -4.500,     0.000,   0.200437,   0.001711,   0.008965,   0.010676,   0.000000,   0.000000,   0.116293,  -0.000000,  -0.000000,   32.0000,    2.6824
   -4.000,     0.000,   0.253004,   0.001920,   0.008717,   0.010637,   0.000000,   0.000000,   0.103877,  -0.000000,  -0.000000,   32.0000,    2.8519
   -3.500,     0.000,   0.305554,   0.002212,   0.008430,   0.010642,   0.000000,   0.000000,   0.091323,  -0.000000,  -0.000000,   32.0000,    2.9630
   -3.000,     0.000,   0.358082,   0.002588,   0.008009,   0.010597,   0.000000,   0.000000,   0.078636,  -0.000000,  -0.000000,   32.0000,    3.0415
   -2.500,     0.000,   0.410579,   0.003048,   0.007340,   0.010388,   0.000000,   0.000000,   0.065823,  -0.000000,  -0.000000,   32.0000,    3.1000
   -2.000,     0.000,   0.463042,   0.003592,   0.006846,   0.010438,   0.000000,   0.000000,   0.052897,  -0.000000,  -0.000000,   32.0000,    3.1452
   -1.500,     0.000,   0.515462,   0.004219,   0.006579,   0.010798,   0.000000,   0.000000,   0.039855,  -0.000000,  -0.000000,   32.0000,    3.1813
   -1.000,     0.000,   0.567835,   0.004929,   0.006518,   0.011448,   0.000000,   0.000000,   0.026691,  -0.000000,  -0.000000,   32.0000,    3.2108
   -0.500,     0.000,   0.620154,   0.005723,   0.006542,   0.012265,   0.000000,   0.000000,   0.013418,  -0.000000,  -0.000000,   32.0000,    3.2353
    0.000,     0.000,   0.672412,   0.006599,   0.006612,   0.013211,   0.000000,   0.000000,   0.000037,  -0.000000,  -0.000000,   32.0000,    3.2561
    0.500,     0.000,   0.724604,   0.007557,   0.006705,   0.014262,   0.000000,   0.000000,  -0.013452,  -0.000000,  -0.000000,   32.0000,    3.2740
    1.000,     0.000,   0.776723,   0.008596,   0.006838,   0.015434,   0.000000,   0.000000,  -0.027035,  -0.000000,  -0.000000,   32.0000,    3.2895
    1.500,     0.000,   0.828764,   0.009717,   0.007008,   0.016725,   0.000000,   0.000000,  -0.040714,  -0.000000,  -0.000000,   32.0000,    3.3032
    2.000,     0.000,   0.880721,   0.010918,   0.007214,   0.018132,   0.000000,   0.000000,  -0.054491,  -0.000000,  -0.000000,   32.0000,    3.3153
    2.500,     0.000,   0.932586,   0.012198,   0.007493,   0.019691,   0.000000,   0.000000,  -0.068376,  -0.000000,  -0.000000,   32.0000,    3.3261
    3.000,     0.000,   0.984355,   0.013558,   0.007917,   0.021475,   0.000000,   0.000000,  -0.082354,  -0.000000,  -0.000000,   32.0000,    3.3360
    3.500,     0.000,   1.036020,   0.014996,   0.008688,   0.023684,   0.000000,   0.000000,  -0.096414,  -0.000000,  -0.000000,   32.0000,    3.3449
    4.000,     0.000,   1.087577,   0.016511,   0.009785,   0.026296,   0.000000,   0.000000,  -0.110552,  -0.000000,  -0.000000,   32.0000,    3.3530
    4.500,     0.000,   1.139019,   0.018103,   0.011418,   0.029520,   0.000000,   0.000000,  -0.124755,  -0.000000,  -0.000000,   32.0000,    3.3606
    5.000,     0.000,   1.190340,   0.019770,   0.013200,   0.032970,   0.000000,   0.000000,  -0.139023,  -0.000000,  -0.000000,   32.0000,    3.3675
    5.500,     0.000,   1.241535,   0.021511,   0.014640,   0.036151,   0.000000,   0.000000,  -0.153360,  -0.000000,  -0.000000,   32.0000,    3.3740
    6.000,     0.000,   1.292597,   0.023326,   0.015778,   0.039104,   0.000000,   0.000000,  -0.167764,  -0.000000,  -0.000000,   32.0000,    3.3801
    6.500,     0.000,   1.343520,   0.025213,   0.016824,   0.042036,   0.000000,   0.000000,  -0.182218,  -0.000000,  -0.000000,   32.0000,    3.3858
    7.000,     0.000,   1.394300,   0.027170,   0.018120,   0.045291,   0.000000,   0.000000,  -0.196711,  -0.000000,  -0.000000,   32.0000,    3.3912
    7.500,     0.000,   1.444929,   0.029198,   0.019848,   0.049046,   0.000000,   0.000000,  -0.211235,  -0.000000,  -0.000000,   32.0000,    3.3963
    8.000,     0.000,   1.495403,   0.031293,   0.022008,   0.053301,   0.000000,   0.000000,  -0.225780,  -0.000000,  -0.000000,   32.0000,    3.4012


